Price,Close,High,Low,Open,Volume,50_MA,200_MA,Daily_Return
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,,,
Date,,,,,,,,
2023-10-16,15172.73046875,15209.5,15047.26953125,15054.48046875,4308690000,,,0.011844543436429156
2023-10-17,15122.009765625,15187.0595703125,14932.76953125,15009.259765625,4417640000,,,-0.003342885661184347
2023-10-18,14909.259765625,15103.8701171875,14865.8095703125,15022.2802734375,4617140000,,,-0.014068897143792225
2023-10-19,14783.1298828125,15023.91015625,14749.2998046875,14981.1298828125,5014790000,,,-0.008459835350330902
2023-10-20,14560.8798828125,14781.2197265625,14552.1201171875,14752.58984375,4622840000,,,-0.015034028772107133
2023-10-23,14604.849609375,14746.3701171875,14419.0595703125,14514.1103515625,4669060000,,,0.003019716316347232
2023-10-24,14745.8603515625,14774.16015625,14610.330078125,14678.41015625,4604720000,,,0.009655062938613401
2023-10-25,14381.6396484375,14643.6904296875,14362.240234375,14642.080078125,4599850000,,,-0.024699861143497537
2023-10-26,14109.5703125,14372.509765625,14058.330078125,14314.009765625,4894900000,,,-0.018917824572739828
2023-10-27,14180.419921875,14321.0400390625,14130.3701171875,14245.75,4172100000,,,0.005021386747138035
2023-10-30,14335.509765625,14388.2001953125,14225.8603515625,14283.98046875,4149320000,,,0.010936900642184444
2023-10-31,14409.7802734375,14420.4404296875,14232.400390625,14340.8603515625,4315630000,,,0.005180876650134447
2023-11-01,14664.91015625,14677.8603515625,14441.8896484375,14453.6796875,4545120000,,,0.017705327768446022
2023-11-02,14919.5498046875,14930.759765625,14792.8095703125,14856.9501953125,4962950000,,,0.017363873745177782
2023-11-03,15099.490234375,15149.7802734375,14965.2900390625,14985.1201171875,4918750000,,,0.012060714434624975
2023-11-06,15154.9296875,15180.1904296875,15064.91015625,15137.16015625,4345850000,,,0.0036716109129821817
2023-11-07,15296.01953125,15335.4404296875,15153.3095703125,15201.76953125,4354460000,,,0.00930983162966248
2023-11-08,15313.240234375,15343.1904296875,15220.8798828125,15313.900390625,4685550000,,,0.0011258290491731326
2023-11-09,15187.900390625,15382.1103515625,15171.3203125,15351.1201171875,5313970000,,,-0.00818506350267001
2023-11-10,15529.1201171875,15535.2001953125,15237.169921875,15252.3603515625,4722140000,14954.72384765625,,0.02246655020025834
2023-11-13,15482.7900390625,15524.66015625,15404.7099609375,15469.2099609375,4349590000,14954.56244140625,,-0.002983432272748221
2023-11-14,15812.4697265625,15850.33984375,15726.1201171875,15744.3603515625,5332490000,14960.64703125,,0.021293299635803953
2023-11-15,15817.1796875,15904.6298828125,15765.3095703125,15881.7197265625,5063830000,14969.56181640625,,0.00029786371256013133
2023-11-16,15833.169921875,15842.6298828125,15738.2197265625,15765.2001953125,4545180000,14981.05482421875,,0.0010109409320067098
2023-11-17,15837.990234375,15876.8701171875,15766.9404296875,15803.98046875,4408640000,14992.21001953125,,0.00030444393155537597
2023-11-20,16027.0595703125,16056.759765625,15844.830078125,15845.2001953125,4561810000,15003.51380859375,,0.011937710097026155
2023-11-21,15933.6201171875,15968.08984375,15866.8203125,15951.5498046875,4128600000,15016.39140625,,-0.005830105810430863
2023-11-22,16001.3896484375,16119.3095703125,15964.0400390625,16025.740234375,3855240000,15029.44859375,,0.0042532413068450126
2023-11-24,15982.009765625,16007.4296875,15940.6201171875,15974.849609375,2541840000,15039.61099609375,,-0.001211137484824154
2023-11-27,15961.98046875,16045.2998046875,15932.1904296875,15969.7197265625,4205880000,15054.80259765625,,-0.0012532401849785213
2023-11-28,16010.4296875,16031.51953125,15921.0703125,15940.2900390625,4474400000,15070.5037890625,,0.0030352886876947593
2023-11-29,15987.599609375,16166.509765625,15976.6904296875,16111.3603515625,4890220000,15086.431171875,,-0.0014259503692661823
2023-11-30,15947.8701171875,16013.48046875,15825.669921875,15987.66015625,5678070000,15105.99017578125,,-0.002485019212277728
2023-12-01,15997.580078125,16013.75,15834.9296875,15892.58984375,5607000000,15132.05697265625,,0.00311702820327886
2023-12-04,15839.669921875,15852.4501953125,15695.580078125,15837.1201171875,6270020000,15154.82837890625,,-0.009870877687677582
2023-12-05,15877.7099609375,15931.83984375,15760.58984375,15763.650390625,6179120000,15177.0045703125,,0.0024015676620865456
2023-12-06,15788.0498046875,15990.9404296875,15776.9501953125,15990.2001953125,5167030000,15201.84896484375,,-0.0056469198940264365
2023-12-07,16022.490234375,16042.509765625,15875.48046875,15888.23046875,5694310000,15230.69556640625,,0.01484923296972962
2023-12-08,16084.6904296875,16100.8603515625,15937.580078125,15952.849609375,5430840000,15258.333984375,,0.0038820554359930703
2023-12-11,16221.73046875,16232.259765625,16061.8701171875,16069.6201171875,5607820000,15288.4637890625,,0.008519905288917773
2023-12-12,16354.25,16354.25,16175.4599609375,16209.6103515625,4950100000,15318.7973828125,,0.008169259839774234
2023-12-13,16562.369140625,16581.0390625,16357.2099609375,16392.1796875,6732040000,15358.73236328125,,0.012725691525138805
2023-12-14,16537.830078125,16660.7109375,16419.259765625,16603.5390625,8033170000,15393.96396484375,,-0.0014816154797449022
2023-12-15,16623.44921875,16669.76953125,16557.009765625,16587.0,8377630000,15431.9685546875,,0.005177168964763501
2023-12-18,16729.80078125,16764.3203125,16629.2890625,16631.109375,5866080000,15467.099765625,,0.006397683242539198
2023-12-19,16811.849609375,16813.009765625,16733.380859375,16734.25,5757180000,15502.39375,,0.004904351773092008
2023-12-20,16554.16015625,16860.6796875,16552.060546875,16763.640625,6294700000,15530.8465625,,-0.015327846674366041
2023-12-21,16757.41015625,16768.01953125,16621.51953125,16719.609375,5465640000,15561.17236328125,,0.01227788048935019
2023-12-22,16777.400390625,16839.25,16703.5703125,16799.01953125,4796600000,15593.03837890625,,0.0011929190840711534
2023-12-26,16878.4609375,16907.509765625,16813.5703125,16816.779296875,6120600000,15630.7051953125,,0.006023611794558459
2023-12-27,16906.80078125,16922.009765625,16859.55078125,16896.140625,7480170000,15665.3866015625,,0.0016790537866540056
2023-12-28,16898.470703125,16969.169921875,16891.3203125,16963.51953125,5090570000,15700.9158203125,,-0.0004927057598169693
2023-12-29,16825.9296875,16919.509765625,16757.890625,16902.439453125,5441060000,15739.24921875,,-0.00429275624400649
2024-01-02,16543.939453125,16686.599609375,16453.150390625,16667.30078125,5791170000,15774.46541015625,,-0.01675926618096424
2024-01-03,16368.490234375,16471.080078125,16352.1396484375,16413.259765625,5449950000,15810.6176171875,,-0.010605044780725437
2024-01-04,16282.009765625,16419.439453125,16276.4296875,16290.7802734375,5289220000,15844.1608203125,,-0.005283350358628924
2024-01-05,16305.98046875,16415.390625,16249.1904296875,16281.740234375,5232820000,15875.36322265625,,0.0014722201663093237
2024-01-08,16649.869140625,16655.23046875,16349.3896484375,16354.2197265625,6337770000,15920.7278125,,0.021089726713094947
2024-01-09,16678.69921875,16710.880859375,16513.73046875,16531.9609375,5068410000,15972.110390625,,0.0017315498327044043
2024-01-10,16793.05078125,16827.369140625,16654.740234375,16702.55078125,4404590000,16024.3630078125,,0.0068561439354604126
2024-01-11,16820.900390625,16898.16015625,16618.859375,16852.189453125,5044690000,16074.0708203125,,0.0016584008312590104
2024-01-12,16832.919921875,16900.369140625,16776.919921875,16855.0,4958940000,16122.53361328125,,0.0007145593262474215
2024-01-16,16830.7109375,16895.330078125,16726.58984375,16775.099609375,6386180000,16165.84962890625,,-0.00013123001744508311
2024-01-17,16736.279296875,16749.109375,16561.490234375,16705.509765625,5181740000,16202.18421875,,-0.005610674497094403
2024-01-18,16982.2890625,16996.98046875,16818.130859375,16894.330078125,5587440000,16239.8401953125,,0.014699190976750431
2024-01-19,17314.0,17317.2109375,17041.849609375,17060.140625,5604950000,16283.0216015625,,0.019532757702992898
2024-01-22,17330.380859375,17450.30078125,17309.869140625,17403.619140625,5456240000,16323.708828125,,0.0009461048501213654
2024-01-23,17404.2109375,17410.859375,17286.01953125,17346.94921875,5207680000,16365.5282421875,,0.004260153237489961
2024-01-24,17499.30078125,17665.259765625,17481.970703125,17562.3203125,4983210000,16411.75625,,0.005463611311738115
2024-01-25,17516.990234375,17631.33984375,17430.369140625,17589.26953125,5281570000,16451.51365234375,,0.0010108662823804515
2024-01-26,17421.009765625,17514.759765625,17395.5390625,17432.869140625,4510530000,16490.278046875,,-0.005479278544190169
2024-01-29,17596.26953125,17603.94921875,17414.619140625,17438.029296875,4979310000,16525.95404296875,,0.010060252992385221
2024-01-30,17476.7109375,17578.4609375,17443.76953125,17556.490234375,4719240000,16559.14466796875,,-0.006794542078232602
2024-01-31,17137.240234375,17375.3203125,17128.740234375,17269.98046875,5875610000,16585.22607421875,,-0.019424175655191167
2024-02-01,17344.7109375,17356.759765625,17175.830078125,17216.990234375,5046920000,16615.36048828125,,0.012106424388498738
2024-02-02,17642.73046875,17682.2890625,17378.369140625,17415.939453125,4800690000,16647.67390625,,0.017182156123782377
2024-02-05,17613.0390625,17655.76953125,17469.619140625,17634.689453125,4831020000,16681.26228515625,,-0.0016829257978288048
2024-02-06,17572.73046875,17680.619140625,17475.4296875,17664.439453125,4759640000,16712.6891015625,,-0.002288565511435303
2024-02-07,17755.0703125,17784.169921875,17637.73046875,17674.58984375,4567580000,16748.1503125,,0.010376295480902131
2024-02-08,17783.169921875,17814.119140625,17728.55078125,17757.599609375,5675850000,16784.5741015625,,0.0015826245055878818
2024-02-09,17962.41015625,17987.900390625,17798.810546875,17820.98046875,5797260000,16823.6137109375,,0.010079206078693392
2024-02-12,17882.66015625,18041.44921875,17859.66015625,17942.279296875,5458490000,16861.514921875,,-0.004439827356478188
2024-02-13,17600.419921875,17717.669921875,17478.23046875,17519.80078125,5599860000,16894.56591796875,,-0.015782899854323795
2024-02-14,17807.630859375,17815.1796875,17619.919921875,17728.900390625,5092660000,16930.76693359375,,0.011773067825641137
2024-02-15,17845.720703125,17864.58984375,17722.310546875,17815.3203125,6049100000,16970.88794921875,,0.0021389618894727125
2024-02-16,17685.98046875,17864.16015625,17663.400390625,17853.58984375,5223800000,17007.053359375,,-0.008951178662514159
2024-02-20,17546.099609375,17657.080078125,17399.41015625,17591.169921875,5595700000,17042.21435546875,,-0.007909137953768575
2024-02-21,17478.91015625,17482.130859375,17319.439453125,17412.7890625,4845740000,17071.34275390625,,-0.003829309910511447
2024-02-22,18004.69921875,18034.80078125,17808.259765625,17857.759765625,5653930000,17109.7429296875,,0.030081341330769007
2024-02-23,17937.609375,18091.619140625,17902.779296875,18052.58984375,5077910000,17144.0605078125,,-0.0037262407405358466
2024-02-26,17933.330078125,18014.109375,17926.66015625,17970.2109375,5417630000,17175.642109375,,-0.00023856561850232882
2024-02-27,17971.05078125,17987.5390625,17871.060546875,17962.580078125,5423020000,17203.8157421875,,0.0021033853144214465
2024-02-28,17874.5,17931.009765625,17840.359375,17895.029296875,5581690000,17230.549140625,,-0.005372572946637955
2024-02-29,18043.849609375,18068.51953125,17866.259765625,17991.669921875,6265340000,17258.9571484375,,0.009474369038294794
2024-03-01,18302.91015625,18333.259765625,18064.439453125,18069.2890625,5457910000,17290.4193359375,,0.014357276993729684
2024-03-04,18226.48046875,18313.4296875,18218.25,18290.099609375,5725470000,17318.711953125,,-0.004175821595993612
2024-03-05,17897.869140625,18097.5,17804.5,18088.7109375,6356800000,17345.5861328125,,-0.018029335322769402
